,name,scores_avg
613,Attack on Titan: Humanity in Chains,46.0
614,Attentat 1942,75.0
615,Attractio,58.0
616,Audica,77.0
617,AudioSurf,85.0
618,Audiosurf 2,76.0
619,Auditorium HD,79.0
620,Aurion: Legacy of the Kori-Odan,70.0
621,Auto Age: Standoff,59.0
622,Auto Assault,72.0
623,Automachef,68.0
624,Autonauts,80.0
625,Avadon: The Black Fortress,75.0
626,Avalon Code,71.0
627,Avatar: The Last Airbender,59.833333333333336
628,Avatar: The Last Airbender - The Burning Earth,54.0
629,Aven Colony,71.66666666666667
630,Avencast: Rise of the Mage,68.0
631,Avernum 2: Crystal Souls,78.0
632,Aviary Attorney,77.0
633,Aviary Attorney: Definitive Edition,81.0
634,Away: Shuffle Dungeon,65.0
635,Awesomenauts,76.0
636,Awesomenauts Assemble!,77.5
637,Axel & Pixel,72.0
638,Axiom Verge,85.0
639,Axiom Verge 2,77.0
640,Ayo the Clown,75.0
641,Azkend 2: The World Beneath,67.5
642,Azur Lane: Crosswave,56.0
643,Azure Striker Gunvolt,77.0
644,Azure Striker Gunvolt 2,76.0
645,Azure Striker Gunvolt: Striker Pack,82.0
646,B-Boy,51.5
647,BADLAND: Game of the Year Edition,74.5
648,BAFL: Brakes Are For Losers,63.0
649,BANNERMEN,51.0
650,BOXBOY!,80.0
651,BPM: Bullets Per Minute,77.0
652,BRAWL,61.0
653,BUTCHER,71.0
654,BYE-BYE BOXBOY!,83.0
655,Baba Is You,85.5
656,Babel Rising,53.0
657,Baboon!,73.0
658,Back 4 Blood,76.0
659,Back in 1995,52.0
660,Back to Bed,59.5
661,Back to the Future: The Game,66.0
662,Back to the Future: The Game - Episode I: It's About Time,74.5
663,Back to the Future: The Game - Episode II: Get Tannen!,74.0
664,Back to the Future: The Game - Episode III: Citizen Brown,71.0
665,Back to the Future: The Game - Episode IV: Double Visions,71.0
666,Back to the Future: The Game - Episode V: OUTATIME,75.0
667,Backbone,72.0
668,Backbreaker,56.0
669,Backbreaker: Vengeance,66.0
670,Bad Apple Wars,78.0
671,Bad Bots,49.0
672,Bad North,73.0
673,Baja: Edge of Control,63.0
674,Baja: Edge of Control HD,65.0
675,Bakugan Battle Brawlers,61.666666666666664
676,Bakugan: Champions of Vestroia,53.0
677,Bakugan: Defenders of the Core,56.0
678,Balan Wonderworld,43.2
679,Baldur's Gate II: Enhanced Edition,78.0
680,Baldur's Gate and Baldur's Gate II: Enhanced Editions,76.5
681,Baldur's Gate: Enhanced Edition,78.0
